Metric,Value
timing__setup__ws__corner:max_ss_125C_3v00,21.93966670437724
timing__hold__tns__corner:max_ss_125C_3v00,0.0
timing__setup__tns__corner:max_ss_125C_3v00,0.0
timing__hold__wns__corner:max_ss_125C_3v00,0
timing__setup__wns__corner:max_ss_125C_3v00,0.0
timing__hold_vio__count__corner:max_ss_125C_3v00,0
timing__hold_r2r__ws__corner:max_ss_125C_3v00,0.775554
timing__hold_r2r_vio__count__corner:max_ss_125C_3v00,0
timing__setup_vio__count__corner:max_ss_125C_3v00,0
timing__setup_r2r__ws__corner:max_ss_125C_3v00,21.939667
timing__setup_r2r_vio__count__corner:max_ss_125C_3v00,0
timing__unannotated_net__count__corner:max_ss_125C_3v00,1299
timing__unannotated_net_filtered__count__corner:max_ss_125C_3v00,0
timing__unannotated_net__count,1299
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_3v30,3.29982
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_3v30,3.29998
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_3v30,0.000179927
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_3v30,0.00018219
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_3v30,0.0000217884
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_3v30,0.00018219
design_powergrid__voltage__worst,0.00018219
design_powergrid__voltage__worst__net:VDD,3.29982
design_powergrid__drop__worst,0.00018219
design_powergrid__drop__worst__net:VDD,0.000179927
design_powergrid__voltage__worst__net:VSS,0.00018219
design_powergrid__drop__worst__net:VSS,0.00018219
ir__voltage__worst,3.29999999999999982236431605997495353221893310546875
ir__drop__avg,0.000021699999999999998912154908214944271094282157719135284423828125
ir__drop__worst,0.00018000000000000001133641791550843436198192648589611053466796875
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
